,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1520,16730001,Avia,4566495.44085,9163.80960888,16730,2 Avenue des Plantes,FLéAC,R
1521,16730002,Intermarché,4565500.0,8500.0,16730,15 route des Boisdons - Le maine deliot,LINARS,R
1522,16800001,Carrefour,4563900.0,21900.0,16800,ave du general de gaulle,SOYAUX,R
1523,17000005,E.Leclerc,4617000.0,-112700.0,17000,124 Boulevard André Sautel,La Rochelle,R
1524,17000007,Avia,4617100.0,-120400.0,17000,Rue de Béthencourt,LA ROCHELLE,R
1525,17000010,Esso,4616200.0,-120300.0,17000,6 Boulevard Maréchal Lyautey,LA ROCHELLE,R
1526,17000011,Esso,4616600.0,-117800.0,17000,14/16 Cours Forbin,LA ROCHELLE,R
1527,17000012,TotalEnergies,4615600.0,-111900.0,17000,RUE JEAN-PAUL SARTRE,La Rochelle,R
1528,17100001,TotalEnergies,4571900.0,-63600.0,17100,Route de Bordeaux,LES GONDS,R
1529,17100005,E.Leclerc,4574600.0,-67400.0,17100,15 Rue Champagne Saint Georges,Saintes,R
1530,17100006,E.Leclerc,4574100.8800341,-62603.359222409,17100,Cours Charles de Gaulle,Saintes,R
1531,17100007,Intermarché,4573933.0,-60291.0,17100,11 Rue de Lamothe,Saintes,R
1532,17100008,Intermarché,4573600.0,-64900.0,17100,Cours Hector Berlioz,Saintes,R
1533,17100009,TotalEnergies,4574700.0,-64000.0,17100,31 Cours Lemercier,SAINTES,R
1534,17100011,Esso,4573900.0,-64200.0,17100,3 Avenue Salvador Allende,SAINTES,R
1535,17100013,TotalEnergies Access,4574100.0,-62500.0,17100,AVENUE DE SAINTONGES,SAINTES,R
1536,17102001,Système U,4575624.74472,-65210.476871,17100,cours du Maréchal Leclerc,SAINTES,R
1537,17110001,Système U,4561200.0,-99100.0,17110,68 Avenue du Maréchal Juin,SAINT-GEORGES-DE-DIDONNE,R
1538,17120002,Système U,4558500.0,-83500.0,17120,30 Boulevard des Dandonneaux,COZES,R
1540,17120005,Système U,4560400.0,-91400.0,17120,1 ZA LE PRE CHARDON,SEMUSSAC,R
